sentences,acc for intensity 0,SNR for intensity 0,acc for intensity 0.1,SNR for intensity 0.1,acc for intensity 0.2,SNR for intensity 0.2,acc for intensity 0.3,SNR for intensity 0.3,acc for intensity 0.4,SNR for intensity 0.4,acc for intensity 0.5,SNR for intensity 0.5,acc for intensity 0.6,SNR for intensity 0.6,acc for intensity 0.7,SNR for intensity 0.7,acc for intensity 0.8,SNR for intensity 0.8,acc for intensity 0.9,SNR for intensity 0.9,acc for intensity 1.0,SNR for intensity 1.0,number of words
o půlnoci odešla velká británie z evropské unie stalo se tak následkem referenda ve kterém byl výsledek v mezích statistické chyby následek  rozdělený národ hrozba rozpadu země posíleny odstředivé proudy nejistá budoucnost nejistota ,0.9393939393939394,,0.8787878787878788,23.908863210446274,0.8484848484848485,12.114636471395535,0.7272727272727273,4.021934170377821,0.6363636363636364,-0.6374933402353123,0.18181818181818182,-4.337708168207483,0.030303030303030304,-7.333853929812589,0.0,-10.226915919828379,0.0,-12.623770902639418,0.0,-13.059814039544513,0.0,-15.906321260010829,33
 to jsou mnohokrát opakovaná fakta ,1.0,,1.0,20.63012076657585,0.2,13.586760810411704,0.8,3.614342676790034,0.6,-0.1877641601487823,0.0,-5.961870145446849,0.0,-9.205108517056576,0.0,-10.858942011646803,0.0,-14.353139128726582,0.0,-16.875298246697238,0.0,-15.170622604283873,5
 vina je na junckerově vedení unie které nebylo ochotno přistoupit na jednoduchou tezi že členské státy unie mají mít právo rozhodovat o tom kdo může a nemůže fungovat na jejich území a účastnit se systému sociální podpory to byl zásadní britský požadavek ten byl zamítnut ve prospěch prosazování fikce o jednolitém evropském prostoru takže odešla pátá největší ekonomika světa ,1.0,,0.9322033898305084,24.125277671441015,0.8305084745762712,13.155625142061993,0.7796610169491526,4.619477905382751,0.5932203389830508,0.569595635214588,0.3728813559322034,-1.9356451857082417,0.1694915254237288,-6.420082371598505,0.03389830508474576,-10.251985108648249,0.05084745762711865,-11.140646712940224,0.0,-12.639217820159821,0.0,-14.203295096805057,59
 co bude dál  ,0.6666666666666666,,0.6666666666666666,20.03987964815696,0.6666666666666666,10.869848803762693,0.3333333333333333,-0.7882179105480837,0.3333333333333333,-3.5096070261989167,0.3333333333333333,-8.312135000451535,0.0,-12.032898850190056,0.0,-15.169844351862862,0.0,-17.915072044383322,0.0,-17.523586449268983,0.0,-20.40558980858929,3
 to nikdo neví půlnoční odchod neznamená nic jiného než že výsledek toho těsného referenda platí je to absurdní je to hanba je to zavrženíhodné ale je to tak ,1.0,,0.9642857142857143,24.031059374637923,0.8928571428571429,11.445677933872172,0.5357142857142857,4.6233271594050045,0.5714285714285714,2.152375554180531,0.10714285714285714,-4.391772120493222,0.0,-8.238993580362967,0.0,-10.38543684498592,0.0,-11.165882302432223,0.0,-14.772105639150663,0.0,-14.99410699337959,28
 napříště budeme ušetřeni trapných - televizí přenášených - parlamentních tahanic ale nejistota zůstala včetně hrozby tvrdého brexitu se cly a nedejbože vízy na hranicích ,0.9166666666666666,,0.7916666666666666,22.014799952297096,0.5416666666666666,9.267131210835522,0.375,4.6016676966849595,0.375,-2.1170841512173397,0.3333333333333333,-5.171570068401559,0.16666666666666666,-7.155050993700179,0.0,-10.182300188897706,0.0,-12.186064878089844,0.0,-15.895758260697615,0.0,-16.789744446114643,24
 vedení unie nepochybně selhalo a otevřelo společenství ránu pod čarou ponoru bez známky sebereflexe bez ochoty vzít na sebe odpovědnost ,1.0,,1.0,22.661226956040814,0.95,12.640480367089154,0.75,5.361721931921086,0.25,-1.5053727781051052,0.15,-4.011999507921123,0.0,-8.841048247778877,0.0,-10.011782635762245,0.0,-10.724946232281729,0.0,-13.096157032695006,0.0,-16.785720176569733,20
 nicméně ani to není podstatné ,1.0,,1.0,18.130923566591843,1.0,5.2675666916559845,1.0,-0.7439946699555262,0.8,-6.817828365974005,0.0,-9.042214210526044,0.0,-12.807613453495508,0.0,-16.394424182130244,0.0,-17.740954305406838,0.0,-21.403286672599027,0.0,-18.832333738920894,5
 je třeba se na situaci dívat realisticky ,1.0,,1.0,21.465349126758888,1.0,7.905117700982773,0.7142857142857143,2.7292410955864748,0.8571428571428571,-2.7499347793261504,0.42857142857142855,-7.608879972804669,0.14285714285714285,-9.2640488450883,0.14285714285714285,-12.518014026374251,0.0,-13.927206552562343,0.0,-17.454630717845237,0.0,-19.23832711423691,7
 i v této turbulentní době se ozývají hlasy prosazující jakési reformy evropských institucí ničeho nedosáhnou nenastanou žádné reformy není to žádná škoda reforem není třeba protože kořen zla je jinde ,1.0,,1.0,25.149562073997718,0.9666666666666667,13.42932703166965,0.8666666666666667,5.158538385401094,0.6333333333333333,2.982700713618872,0.3,-2.7205006880140337,0.2,-3.6761213266169444,0.06666666666666667,-8.76211839330563,0.0,-12.14045193419571,0.0,-12.361402686323908,0.0,-15.891876534900717,30
